País;Población
 Estados Unidos;339 996 563
 Brasil;216 422 446
 México;128 455 567
 Colombia;52 085 168
 Argentina;45 773 884
 Canadá;38 781 291
 Perú;34 352 719
 Venezuela;28 838 499
 Chile;19 629 590
 Ecuador;18 190 484
 Guatemala;18 092 026
 Bolivia;12 388 571
 Haití;11 724 763
 República Dominicana;11 332 972
 Cuba;11 194 449
 Honduras;10 593 798
 Nicaragua;7 046 310
 El Salvador;6 364 943
 Paraguay;6 109 644
 Costa Rica;5 212 173
 Panamá;4 468 087
 Uruguay;3 423 108
 Puerto Rico;3 260 314
 Jamaica;2 825 544
 Trinidad y Tobago;1 534 937
 Guyana;813 834
 Surinam;613 236
 Bahamas;412 623
 Belice;410 825
 Barbados;281 995
 Santa Lucía;180 251
 Granada;126 183
 Aruba;106 277
 San Vicente y las Granadinas;103 698
 Antigua y Barbuda;97 929
 Dominica;73 040
 San Cristóbal y Nieves;47 755
América;1 045 081 665
